,Survived,Pclass,Fare,Child,gender
0,0,3,7.25,0,0
1,1,1,71.2833,0,1
2,1,3,7.925,0,1
3,1,1,53.1,0,1
4,0,3,8.05,0,0
5,0,3,8.4583,1,0
6,0,1,51.8625,0,0
7,0,3,21.075,1,0
8,1,3,11.1333,0,1
9,1,2,30.0708,1,1
10,1,3,16.7,1,1
11,1,1,26.55,0,1
12,0,3,8.05,0,0
13,0,3,31.275,0,0
14,0,3,7.8542,1,1
15,1,2,16.0,0,1
16,0,3,29.125,1,0
17,1,2,13.0,1,0
18,0,3,18.0,0,1
19,1,3,7.225,1,1
20,0,2,26.0,0,0
21,1,2,13.0,0,0
22,1,3,8.0292,1,1
23,1,1,35.5,0,0
24,0,3,21.075,1,1
25,1,3,31.3875,0,1
26,0,3,7.225,1,0
27,0,1,263.0,0,0
28,1,3,7.8792,1,1
29,0,3,7.8958,1,0
30,0,1,27.7208,0,0
31,1,1,146.5208,1,1
32,1,3,7.75,1,1
33,0,2,10.5,0,0
34,0,1,82.1708,0,0
35,0,1,52.0,0,0
36,1,3,7.2292,1,0
37,0,3,8.05,0,0
38,0,3,18.0,1,1
39,1,3,11.2417,1,1
40,0,3,9.475,0,1
41,0,2,21.0,0,1
42,0,3,7.8958,1,0
43,1,2,41.5792,1,1
44,1,3,7.8792,0,1
45,0,3,8.05,1,0
46,0,3,15.5,1,0
47,1,3,7.75,1,1
48,0,3,21.6792,1,0
49,0,3,17.8,1,1
50,0,3,39.6875,1,0
51,0,3,7.8,0,0
52,1,1,76.7292,0,1
53,1,2,26.0,0,1
54,0,1,61.9792,0,0
55,1,1,35.5,1,0
56,1,2,10.5,0,1
57,0,3,7.2292,0,0
58,1,2,27.75,1,1
59,0,3,46.9,1,0
60,0,3,7.2292,0,0
61,1,1,80.0,0,1
62,0,1,83.475,0,0
63,0,3,27.9,1,0
64,0,1,27.7208,1,0
65,1,3,15.2458,1,0
66,1,2,10.5,0,1
67,0,3,8.1583,0,0
68,1,3,7.925,1,1
69,0,3,8.6625,0,0
70,0,2,10.5,0,0
71,0,3,46.9,1,1
72,0,2,73.5,0,0
73,0,3,14.4542,0,0
74,1,3,56.4958,0,0
75,0,3,7.65,0,0
76,0,3,7.8958,1,0
77,0,3,8.05,1,0
78,1,2,29.0,1,0
79,1,3,12.475,0,1
80,0,3,9.0,0,0
81,1,3,9.5,0,0
82,1,3,7.7875,1,1
83,0,1,47.1,0,0
84,1,2,10.5,1,1
85,1,3,15.85,0,1
86,0,3,34.375,1,0
87,0,3,8.05,1,0
88,1,1,263.0,0,1
89,0,3,8.05,0,0
90,0,3,8.05,0,0
91,0,3,7.8542,0,0
92,0,1,61.175,0,0
93,0,3,20.575,0,0
94,0,3,7.25,0,0
95,0,3,8.05,1,0
96,0,1,34.6542,0,0
97,1,1,63.3583,0,0
98,1,2,23.0,0,1
99,0,2,26.0,0,0
100,0,3,7.8958,0,1
101,0,3,7.8958,1,0
102,0,1,77.2875,0,0
103,0,3,8.6542,0,0
104,0,3,7.925,0,0
105,0,3,7.8958,0,0
106,1,3,7.65,0,1
107,1,3,7.775,1,0
108,0,3,7.8958,0,0
109,1,3,24.15,1,1
110,0,1,52.0,0,0
111,0,3,14.4542,1,1
112,0,3,8.05,0,0
113,0,3,9.825,0,1
114,0,3,14.4583,1,1
115,0,3,7.925,0,0
116,0,3,7.75,0,0
117,0,2,21.0,0,0
118,0,1,247.5208,0,0
119,0,3,31.275,1,1
120,0,2,73.5,0,0
121,0,3,8.05,1,0
122,0,2,30.0708,0,0
123,1,2,13.0,0,1
124,0,1,77.2875,0,0
125,1,3,11.2417,1,0
126,0,3,7.75,1,0
127,1,3,7.1417,0,0
128,1,3,22.3583,1,1
129,0,3,6.975,0,0
130,0,3,7.8958,0,0
131,0,3,7.05,0,0
132,0,3,14.5,0,1
133,1,2,26.0,0,1
134,0,2,13.0,0,0
135,0,2,15.0458,0,0
136,1,1,26.2833,0,1
137,0,1,53.1,0,0
138,0,3,9.2167,1,0
139,0,1,79.2,0,0
140,0,3,15.2458,1,1
141,1,3,7.75,0,1
142,1,3,15.85,0,1
143,0,3,6.75,0,0
144,0,2,11.5,1,0
145,0,2,36.75,0,0
146,1,3,7.7958,0,0
147,0,3,34.375,1,1
148,0,2,26.0,0,0
149,0,2,13.0,0,0
150,0,2,12.525,0,0
151,1,1,66.6,0,1
152,0,3,8.05,0,0
153,0,3,14.5,0,0
154,0,3,7.3125,1,0
155,0,1,61.3792,0,0
156,1,3,7.7333,1,1
157,0,3,8.05,0,0
158,0,3,8.6625,1,0
159,0,3,69.55,1,0
160,0,3,16.1,0,0
161,1,2,15.75,0,1
162,0,3,7.775,0,0
163,0,3,8.6625,1,0
164,0,3,39.6875,1,0
165,1,3,20.525,1,0
166,1,1,55.0,1,1
167,0,3,27.9,0,1
168,0,1,25.925,1,0
169,0,3,56.4958,0,0
170,0,1,33.5,0,0
